Date,Gold_price,Price
2021-05-17,1850.0,3370.915561
2021-05-18,1870.0,3437.209179
2021-05-19,1890.0,3302.680253
2021-05-20,1880.0,2656.723333
2021-05-21,1880.0,2611.554427
2021-05-22,1880.0,2361.51219
2021-05-23,1880.0,2153.149647
2021-05-24,1880.0,2349.482012
2021-05-25,1890.0,2621.664292
2021-05-26,1900.0,2729.866689
2021-05-27,1890.0,2744.521763
2021-05-28,1900.0,2577.976137
2021-05-29,1900.0,2436.931283
2021-05-30,1900.0,2345.968579
2021-05-31,1900.0,2466.521729
2021-06-01,1900.0,2593.622209
2021-06-02,1900.0,2656.855773
2021-06-03,1870.0,2748.944583
2021-06-04,1890.0,2694.961341
2021-06-05,1890.0,2714.368024
2021-06-06,1890.0,2650.51842
2021-06-07,1890.0,2731.52375
2021-06-08,1890.0,2555.837973
2021-06-09,1890.0,2528.853197
2021-06-10,1890.0,2563.480817
2021-06-11,1880.0,2496.722674
2021-06-12,1876.6666666666667,2450.515
2021-06-13,1873.3333333333333,2430.118014
2021-06-14,1870.0,2468.992341
2021-06-15,1870.0,2575.813014
2021-06-16,1860.0,2490.899365
2021-06-17,1780.0,2417.410906
2021-06-18,1770.0,2343.748664
2021-06-19,1773.3333333333333,2215.459278
2021-06-20,1776.6666666666667,2219.274167
2021-06-21,1780.0,2181.380292
2021-06-22,1780.0,1939.924864
2021-06-23,1790.0,1888.881667
2021-06-24,1780.0,1973.995833
2021-06-25,1790.0,2012.7
2021-06-26,1786.6666666666667,1983.709225
2021-06-27,1783.3333333333333,1907.336861
2021-06-28,1780.0,1991.80553
2021-06-29,1760.0,2126.44684
2021-06-30,1760.0,2134.53646
2021-07-01,1780.0,2104.59
2021-07-02,1790.0,2097.40134
2021-07-03,1790.0,2126.033081
2021-07-04,1790.0,2292.620158
2021-07-05,1790.0,2322.764004
2021-07-06,1810.0,2328.822865
2021-07-07,1800.0,2358.774745
2021-07-08,1810.0,2206.916244
2021-07-09,1810.0,2130.485526
2021-07-10,1803.3333333333333,2122.318246
2021-07-11,1796.6666666666667,2127.194702
2021-07-12,1790.0,2112.241636
2021-07-13,1810.0,2006.273967
2021-07-14,1820.0,1956.567788
2021-07-15,1820.0,1955.743838
2021-07-16,1820.0,1913.891239
2021-07-17,1816.6666666666667,1891.072159
2021-07-18,1813.3333333333333,1935.870699
2021-07-19,1810.0,1856.198512
2021-07-20,1820.0,1776.659437
2021-07-21,1800.0,1875.434892
2021-07-22,1800.0,1998.246225
2021-07-23,1800.0,2068.494707
2021-07-24,1800.0,2127.109728
2021-07-25,1800.0,2158.515823
2021-07-26,1800.0,2309.316105
2021-07-27,1800.0,2238.700011
2021-07-28,1800.0,2295.490738
2021-07-29,1830.0,2307.376437
2021-07-30,1830.0,2405.689239
2021-07-31,1823.3333333333333,2455.368472
2021-08-01,1816.6666666666667,2597.125884
2021-08-02,1810.0,2633.306135
2021-08-03,1810.0,2638.93
2021-08-04,1830.0,2638.93
2021-08-05,1800.0,2638.93
2021-08-06,1760.0,2638.93
2021-08-07,1753.3333333333333,2880.601886
2021-08-08,1746.6666666666667,3078.322862
2021-08-09,1740.0,3057.420381
2021-08-10,1720.0,3110.39965
2021-08-11,1740.0,3195.261157
2021-08-12,1750.0,3123.894277
2021-08-13,1770.0,3195.072381
2021-08-14,1776.6666666666667,3254.891952
2021-08-15,1783.3333333333333,3257.155146
2021-08-16,1790.0,3246.050411
2021-08-17,1790.0,3161.634932
2021-08-18,1780.0,3044.348635
2021-08-19,1780.0,3034.065302
2021-08-20,1780.0,3212.005897
2021-08-21,1786.6666666666667,3259.498196
2021-08-22,1793.3333333333333,3222.77875
2021-08-23,1800.0,3315.386025
2021-08-24,1810.0,3277.571123
2021-08-25,1790.0,3176.45827
2021-08-26,1790.0,3189.16118
2021-08-27,1800.0,3174.155747
2021-08-28,1800.0,3252.430047
2021-08-29,1800.0,3232.765742
2021-08-30,1800.0,3200.789099
2021-08-31,1810.0,3311.78931
2021-09-01,1810.0,3573.711947
2021-09-02,1810.0,3768.635411
2021-09-03,1820.0,3890.069975
2021-09-04,1820.0,3911.757793
2021-09-05,1820.0,3896.551483
2021-09-06,1820.0,3932.463748
2021-09-07,1800.0,3722.889526
2021-09-08,1790.0,3410.894239
2021-09-09,1790.0,3499.536623
2021-09-10,1790.0,3394.063793
2021-09-11,1790.0,3267.023645
2021-09-12,1790.0,3357.080305
2021-09-13,1790.0,3332.932628
2021-09-14,1790.0,3337.739384
2021-09-15,1800.0,3419.366667
2021-09-16,1750.0,3422.55
2021-09-17,1760.0,3421.172286
2021-09-18,1760.0,3469.773188
2021-09-19,1760.0,3393.484432
2021-09-20,1760.0,3132.67987
2021-09-21,1770.0,3035.76
2021-09-22,1770.0,3035.76
2021-09-23,1750.0,3035.76
2021-09-24,1750.0,3021.341667
2021-09-25,1753.3333333333333,2931.434008
2021-09-26,1756.6666666666667,2962.162449
2021-09-27,1760.0,3065.885836
