DATE,TOTAL_USD_VOLUME_cex,TOTAL_USD_VOLUME_dex
2021/6/9,1596014.848,4839822599.0
2021/6/10,1069287.416,5066526270.0
2021/6/11,172511.5716,4506188724.0
2021/6/12,1321992.51,4325482445.0
2021/6/13,110491.84,4125933062.0
2021/6/14,488450.425,3156594870.0
2021/6/15,264136.9455,3920733187.0
2021/6/16,339577.8285,3913356264.0
2021/6/17,1376530.475,5907072698.0
2021/6/18,180433.3626,8017255697.0
2021/6/19,296916.8424,4053170102.0
2021/6/20,461418.4757,3898064792.0
2021/6/21,338211.3114,5083197878.0
2021/6/22,421499.2441,4562021938.0
2021/6/23,811441.6923,3163933230.0
2021/6/24,13064600.61,3664157638.0
2021/6/25,266810.364,3722433980.0
2021/6/26,12153652.39,4127799127.0
2021/6/27,224642.7991,2900668514.0
2021/6/28,257320.6596,4493888157.0
2021/6/29,170593.9794,2314343133.0
2021/6/30,211168.681,2979859643.0
2021/7/1,226056.0171,4001451927.0
2021/7/2,394900.0536,1908120837.0
2021/7/3,181671.7356,1503434530.0
2021/7/4,679518.8553,2909062781.0
2021/7/5,142439.9952,2896895108.0
2021/7/6,2047491.954,2672560268.0
2021/7/7,767798.1131,2054587662.0
2021/7/8,180477.7116,2654273348.0
2021/7/9,462528.6556,2909932833.0
2021/7/10,94782.39708,2563191195.0
2021/7/11,125867.5265,1185276122.0
2021/7/12,159765.8968,2147502250.0
2021/7/13,11948385.96,3556609550.0
2021/7/14,5057588.933,3081433460.0
2021/7/15,196038.3597,2526670384.0
2021/7/16,99593.70324,2381274028.0
2021/7/17,64890.32752,2485754679.0
2021/7/18,1727142.531,2779588587.0
2021/7/19,802401.1637,2331589367.0
2021/7/20,92295.42516,3524678959.0
2021/7/21,179340.6807,3420388303.0
2021/7/22,154755.5761,1842025829.0
2021/7/23,488825.3538,1994852311.0
2021/7/24,487167.9179,1444210264.0
2021/7/25,362219.3344,1576334267.0
2021/7/26,1368260.998,3460281311.0
2021/7/27,419499.6052,1538361107.0
2021/7/28,960555.906,1933976099.0
2021/7/29,562214.2239,1200163911.0
2021/7/30,6815385.052,1989601071.0
2021/7/31,528472.2585,2395183355.0
2021/8/1,410267.5575,2044738404.0
2021/8/2,468193.4697,2263151787.0
2021/8/3,720661.048,2629398124.0
2021/8/4,5002210.838,2442263824.0
2021/8/5,4336246.158,2127364087.0
2021/8/6,8929523.962,1632142902.0
2021/8/7,5001156.915,1909628904.0
2021/8/8,2223304.202,2279514600.0
2021/8/9,2528989.09,2245858964.0
2021/8/10,1332916.598,1437809554.0
2021/8/11,486312.0167,1693447917.0
2021/8/12,2422434.113,2361353434.0
2021/8/13,2059784.541,1396484337.0
2021/8/14,1340414.719,1819582031.0
2021/8/15,3470378.324,1189325614.0
2021/8/16,1234545.934,1347304377.0
2021/8/17,1449773.883,2015606762.0
2021/8/18,1081784.91,2479075855.0
2021/8/19,1202793.627,3313008283.0
2021/8/20,1324588.422,2099021693.0
2021/8/21,9633731.634,2628139855.0
2021/8/22,1167254.47,2883795831.0
2021/8/23,1032653.946,3772445487.0
2021/8/24,3434911.059,4065778247.0
2021/8/25,852005.5566,3370965296.0
2021/8/26,3500986.611,3607372543.0
2021/8/27,8812999.806,3234148398.0
2021/8/28,1691672.061,2804382009.0
2021/8/29,1355466.508,3072486898.0
2021/8/30,6508837.357,3403344292.0
2021/8/31,1699263.001,3409934759.0
2021/9/1,1989215.676,2556259514.0
2021/9/2,587526.7375,3761867309.0
2021/9/3,1895862.744,3153655871.0
2021/9/4,421362.3152,1418576416.0
2021/9/5,1869896.373,1682641080.0
2021/9/6,11126461.97,1593613608.0
