DATE,INFLOW_USD,OUTFLOW_USD,TOTAL_USD_VOLUME
00:00.0,5126840356,2515091.582,5129355448
00:00.0,6583417636,473243.5269,6583890880
00:00.0,7067006620,942413.842,7067949034
00:00.0,5378204938,811804.654,5379016743
00:00.0,4725302422,1013359.505,4726315781
00:00.0,6808195450,1519536.325,6809714986
00:00.0,6491507940,111527.4429,6491619468
00:00.0,6692962568,136956.2597,6693099524
00:00.0,5111346933,1833349.15,5113180282
00:00.0,4487672720,1543435.498,4489216156
00:00.0,3986643986,410631.4376,3987054617
00:00.0,3626008057,308342.2979,3626316399
00:00.0,5480432383,393945.2902,5480826328
00:00.0,5400636425,475662.5827,5401112087
00:00.0,4619028797,656552.5216,4619685350
00:00.0,5689305629,930324.0041,5690235953
00:00.0,5919276850,192392.9674,5919469243
00:00.0,4839653311,169288.0372,4839822599
00:00.0,5066408748,117521.343,5066526270
00:00.0,4506025297,163426.4157,4506188724
00:00.0,4324581638,900807.5215,4325482445
00:00.0,4125758994,174067.8249,4125933062
00:00.0,3156264439,330430.6511,3156594870
00:00.0,3920052994,680192.6635,3920733187
00:00.0,3912710737,645526.285,3913356264
00:00.0,5907066801,5896.574525,5907072698
00:00.0,8017220407,35289.02888,8017255697
00:00.0,4053027178,142923.6215,4053170102
00:00.0,3897943973,120818.9436,3898064792
00:00.0,5082292506,905372.0602,5083197878
00:00.0,4560314597,1707341.642,4562021938
00:00.0,3163848404,84825.52949,3163933230
00:00.0,3664043272,114365.4853,3664157638
00:00.0,3722400537,33443.16409,3722433980
00:00.0,4127646520,152606.8984,4127799127
00:00.0,2900131653,536861.2839,2900668514
00:00.0,4493887933,223.440388,4493888157
00:00.0,2313933946,409187.03,2314343133
00:00.0,2979723527,136116.1075,2979859643
00:00.0,4001432463,19463.84277,4001451927
00:00.0,1907681423,439414.128,1908120837
00:00.0,1503390137,44393.27566,1503434530
00:00.0,2908689228,373553.4587,2909062781
00:00.0,2896698827,196281.4353,2896895108
00:00.0,2672483806,76461.80734,2672560268
00:00.0,2054462931,124730.3263,2054587662
00:00.0,2654245089,28258.65356,2654273348
00:00.0,2909832055,100778.02,2909932833
00:00.0,2563162098,29097.29031,2563191195
00:00.0,1179581458,5694663.117,1185276122
00:00.0,2147357519,144731.1176,2147502250
00:00.0,3556585639,23911.50991,3556609550
00:00.0,3080992232,441228.2604,3081433460
00:00.0,2526604515,65868.90866,2526670384
00:00.0,2381103529,170499.0085,2381274028
00:00.0,2485678578,76101.31057,2485754679
00:00.0,2779478924,109663.3133,2779588587
00:00.0,2331424164,165203.0557,2331589367
00:00.0,3523448537,1230422.007,3524678959
00:00.0,3420358685,29617.32251,3420388303
00:00.0,1841965660,60168.90361,1842025829
00:00.0,1994717065,135245.9912,1994852311
00:00.0,1444174660,35603.94865,1444210264
00:00.0,1576206907,127359.6189,1576334267
00:00.0,3460236401,44909.71598,3460281311
00:00.0,1538316816,44290.39173,1538361107
00:00.0,1932887684,1088414.276,1933976099
00:00.0,1200023970,139940.9293,1200163911
00:00.0,1988955889,645182.9241,1989601071
00:00.0,2395107248,76106.34861,2395183355
00:00.0,2044588246,150157.2386,2044738404
00:00.0,2262984417,167370.377,2263151787
00:00.0,2629153387,244736.7462,2629398124
00:00.0,2441984319,279504.6219,2442263824
00:00.0,2127283506,80581.09316,2127364087
00:00.0,1632043142,99759.94457,1632142902
00:00.0,1909574171,54733.17403,1909628904
00:00.0,2206040871,73473729.21,2279514600
00:00.0,2245799346,59617.7635,2245858964
00:00.0,1433471337,4338216.724,1437809554
00:00.0,1693311909,136008.1981,1693447917
00:00.0,2361254159,99274.77972,2361353434
00:00.0,1396405251,79085.80261,1396484337
00:00.0,1818937741,644290.4535,1819582031
00:00.0,1189290716,34898.18395,1189325614
00:00.0,1346599908,704469.7046,1347304377
00:00.0,2015573153,33608.93764,2015606762
00:00.0,2478969639,106216.5138,2479075855
00:00.0,3312894652,113630.9364,3313008283
00:00.0,2098369047,652646.4838,2099021693
00:00.0,2627035088,1104767.489,2628139855
00:00.0,2883226127,569704.4055,2883795831
00:00.0,3771262762,1182725.04,3772445487
00:00.0,4065172525,605722.2459,4065778247
00:00.0,3369630256,1335039.915,3370965296
00:00.0,3605901267,1471276.079,3607372543
00:00.0,3233424135,724263.2282,3234148398
00:00.0,2802544784,1837225.245,2804382009
