DATE,N_TRANSFER,USER,AMOUNT_USD,AMOUNT_ETH,CEX,DEX
00:00.0,27,27,351861.7536,194.8531855,coinbase,uniswap
00:00.0,2,2,15955.48886,9.02,lcx,uniswap
00:00.0,5,5,93046.20744,51.34643666,coinbase,sushiswap
00:00.0,33,33,419185.7063,227.3575587,coinbase,uniswap
00:00.0,8,8,142823.2022,77.27119161,coinbase,sushiswap
00:00.0,29,29,333996.1743,183.3625205,coinbase,uniswap
00:00.0,4,4,66784.55232,36.80188927,coinbase,sushiswap
00:00.0,1,1,728.1335316,0.4,lcx,uniswap
00:00.0,3,3,36347.00473,20.05714286,coinbase,sushiswap
00:00.0,32,32,338387.0503,189.2843572,coinbase,uniswap
00:00.0,22,22,256886.8861,144.7646277,coinbase,uniswap
00:00.0,2,2,23990.89923,13.51174458,coinbase,sushiswap
00:00.0,29,29,357906.9508,199.0936146,coinbase,uniswap
00:00.0,4,4,70504.15152,39.75037421,coinbase,sushiswap
00:00.0,18,18,236763.3954,123.9013695,coinbase,uniswap
00:00.0,5,5,79236.91588,41.52,coinbase,sushiswap
00:00.0,3,3,49168.86053,25.56162674,coinbase,sushiswap
00:00.0,11,11,156946.6017,81.43259707,coinbase,uniswap
00:00.0,13,13,202075.4083,101.1604946,coinbase,uniswap
00:00.0,3,3,63035.35188,31.60747798,coinbase,sushiswap
00:00.0,4,5,77516.40625,40.04150097,coinbase,sushiswap
00:00.0,39,39,560953.9518,288.3552914,coinbase,uniswap
00:00.0,6,6,117455.3518,65.48285239,coinbase,sushiswap
00:00.0,19,19,235461.0859,128.0498665,coinbase,uniswap
00:00.0,2,2,21114.53801,14.29198011,coinbase,sushiswap
00:00.0,7,7,87138.63742,52.68,coinbase,uniswap
00:00.0,3,4,40419.51553,24.88212198,coinbase,sushiswap
00:00.0,2,2,3249.042469,2,lcx,uniswap
00:00.0,1,1,5228.927724,3.21875,coinbase,balancer
00:00.0,32,32,393766.5859,239.8204252,coinbase,uniswap
00:00.0,2,2,26128.37773,16,coinbase,sushiswap
00:00.0,41,41,497950.7862,307.3161112,coinbase,uniswap
00:00.0,4,4,31486.94976,20.45465669,coinbase,uniswap
00:00.0,2,2,32183.15662,21.61488138,coinbase,sushiswap
00:00.0,18,18,194933.0358,130.6278248,coinbase,uniswap
00:00.0,3,3,31159.03326,20.882,coinbase,sushiswap
00:00.0,1,1,1459.922365,1,lcx,uniswap
00:00.0,19,19,196498.2263,138.2516342,coinbase,uniswap
00:00.0,2,2,59210.83203,41.28367229,coinbase,sushiswap
00:00.0,1,2,340.3996895,0.222482274,coinbase,sushiswap
00:00.0,43,43,440547.9082,294.1266168,coinbase,uniswap
00:00.0,23,23,274841.9309,176.1101186,coinbase,uniswap
00:00.0,8,11,79083.16398,50.56968751,coinbase,sushiswap
00:00.0,17,17,209764.3139,132.1863485,coinbase,uniswap
00:00.0,4,4,44680.01989,28.06993444,coinbase,sushiswap
00:00.0,2,2,27191.78755,17.28,coinbase,sushiswap
00:00.0,24,24,288245.2592,182.8031835,coinbase,uniswap
00:00.0,5,5,57762.95026,39.00334408,coinbase,sushiswap
00:00.0,58,58,646049.6766,434.3463693,coinbase,uniswap
00:00.0,35,35,381226.8144,243.141399,coinbase,uniswap
00:00.0,1,1,13598.20402,8.88,coinbase,sushiswap
00:00.0,1,1,1661.656901,1,lcx,uniswap
00:00.0,4,4,32872.03007,19.59798447,coinbase,sushiswap
00:00.0,30,30,378880.8044,227.2513902,coinbase,uniswap
00:00.0,34,34,543199.5061,309.9956029,coinbase,uniswap
00:00.0,3,3,41390.9878,23.54665961,coinbase,sushiswap
00:00.0,1,1,12809.82624,6.994871795,coinbase,sushiswap
00:00.0,56,56,946392.5086,516.5001376,coinbase,uniswap
00:00.0,1,1,3606.769996,1.931300679,coinbase,sushiswap
00:00.0,38,38,599856.0107,327.2499816,coinbase,uniswap
00:00.0,39,39,588962.9416,327.7930658,coinbase,uniswap
00:00.0,4,4,59393.11548,33.2004915,coinbase,sushiswap
00:00.0,21,21,293449.8993,165.4880134,coinbase,uniswap
00:00.0,6,6,93509.95925,52.044,coinbase,sushiswap
00:00.0,24,24,382954.6523,204.7008113,coinbase,uniswap
00:00.0,3,3,48287.60711,25.73216303,coinbase,sushiswap
00:00.0,36,36,469361.5335,249.9098808,coinbase,uniswap
00:00.0,1,1,1862.671398,1,lcx,uniswap
00:00.0,5,5,82753.11675,45.4736,coinbase,sushiswap
00:00.0,49,49,655188.5519,360.4522913,coinbase,uniswap
00:00.0,2,2,37213.90792,21.20004195,coinbase,sushiswap
00:00.0,37,37,666002.7285,375.2176568,coinbase,uniswap
00:00.0,2,2,25912.17679,14.5,coinbase,sushiswap
00:00.0,24,24,333642.1449,185.1486286,coinbase,uniswap
00:00.0,22,22,381006.0187,209.3171896,coinbase,uniswap
00:00.0,1,1,21257.02178,11.88121555,coinbase,sushiswap
00:00.0,2,2,29571.98957,16.37019181,coinbase,sushiswap
00:00.0,30,30,499162.6823,277.3462163,coinbase,uniswap
00:00.0,26,26,401023.4466,217.4108447,coinbase,uniswap
00:00.0,23,23,429206.7051,239.5518563,coinbase,uniswap
00:00.0,5,5,138376.6953,77.31216765,coinbase,sushiswap
00:00.0,1,1,15003.52555,8.4,coinbase,sushiswap
00:00.0,26,26,453273.3136,255.2136176,coinbase,uniswap
00:00.0,18,18,347082.0053,204.015797,coinbase,uniswap
00:00.0,1,1,6878.046456,4.046242775,coinbase,sushiswap
00:00.0,20,20,362812.0103,212.926244,coinbase,uniswap
00:00.0,5,5,70269.29293,41.32,coinbase,sushiswap
00:00.0,7,7,122641.3004,71.94847201,coinbase,uniswap
00:00.0,3,3,39929.43227,23.42491177,coinbase,sushiswap
00:00.0,18,18,225411.6562,141.1786735,coinbase,uniswap
00:00.0,2,2,37233.66777,23.32,coinbase,sushiswap
00:00.0,1,1,1357.144837,0.85,lcx,uniswap
00:00.0,1,1,5792.109944,3.55,lcx,uniswap
00:00.0,23,23,362892.0238,222.4175123,coinbase,uniswap
00:00.0,17,17,270823.3664,165.9883808,coinbase,uniswap
00:00.0,1,1,8782.085369,5.382564103,coinbase,sushiswap
00:00.0,1,1,2039.475332,1.25,lcx,uniswap
00:00.0,2,2,38783.10741,23.2,coinbase,sushiswap
00:00.0,1,1,1713.159279,1.05,lcx,uniswap
00:00.0,22,22,314809.3901,184.5490804,coinbase,uniswap
00:00.0,21,21,362843.6341,211.9672442,coinbase,uniswap
00:00.0,1,1,17281.46735,9.36,coinbase,sushiswap
00:00.0,13,13,190462.5854,102.0673407,coinbase,uniswap
00:00.0,1,1,12031.8608,6.15,coinbase,sushiswap
00:00.0,35,35,723570.5999,371.0019196,coinbase,uniswap
00:00.0,26,26,496744.5784,243.0146855,coinbase,uniswap
00:00.0,1,1,18487.52658,8.75,coinbase,sushiswap
00:00.0,38,38,732459.3806,349.8414497,coinbase,uniswap
00:00.0,1,1,19840.57215,9.75,coinbase,sushiswap
00:00.0,25,25,479890.0506,232.5112139,coinbase,uniswap
00:00.0,35,35,749044.5533,366.7040982,coinbase,uniswap
00:00.0,2,2,41543.04992,19.84,coinbase,sushiswap
00:00.0,29,29,501269.0636,240.0924211,coinbase,uniswap
00:00.0,33,33,565683.0682,279.4742601,coinbase,uniswap
00:00.0,1,1,19646.54313,9.872,coinbase,sushiswap
00:00.0,2,2,30601.96172,14.80818037,coinbase,sushiswap
00:00.0,24,24,400712.2845,197.1737042,coinbase,uniswap
00:00.0,15,15,289506.6045,139.5315991,coinbase,uniswap
00:00.0,20,20,401989.4241,188.3685999,coinbase,uniswap
00:00.0,17,17,250324.7549,116.5811844,coinbase,uniswap
00:00.0,11,11,222804.7598,103.2905307,coinbase,uniswap
00:00.0,1,1,1945.851879,0.9,lcx,uniswap
00:00.0,18,18,416701.6563,186.8397881,coinbase,uniswap
00:00.0,15,15,311274.706,132.8741286,coinbase,uniswap
00:00.0,1,1,1094671.756,474.8242279,swissborg,dodo
00:00.0,1,1,19865.30128,8.450649618,coinbase,sushiswap
00:00.0,12,12,273906.5566,111.3196293,coinbase,uniswap
