DATE,TOTAL_USD_VOLUME_sum
2021/7/12,2147662015.8968
2021/7/13,3568557935.96
2021/7/14,3086491048.933
2021/7/15,2526866422.3597
2021/7/16,2381373621.70324
2021/7/17,2485819569.32752
2021/7/18,2781315729.531
2021/7/19,2332391768.1637
2021/7/20,3524771254.42516
2021/7/21,3420567643.6807
2021/7/22,1842180584.5761
2021/7/23,1995341136.3538
2021/7/24,1444697431.9179
2021/7/25,1576696486.3344
2021/7/26,3461649571.998
2021/7/27,1538780606.6052
2021/7/28,1934936654.906
2021/7/29,1200726125.2239
2021/7/30,1996416456.052
2021/7/31,2395711827.2585
2021/8/1,2045148671.5575
2021/8/2,2263619980.4697
2021/8/3,2630118785.048
2021/8/4,2447266034.838
2021/8/5,2131700333.158
2021/8/6,1641072425.962
2021/8/7,1914630060.915
2021/8/8,2281737904.202
2021/8/9,2248387953.09
2021/8/10,1439142470.598
2021/8/11,1693934229.0167
2021/8/12,2363775868.113
2021/8/13,1398544121.541
2021/8/14,1820922445.719
2021/8/15,1192795992.324
2021/8/16,1348538922.934
2021/8/17,2017056535.883
2021/8/18,2480157639.91
2021/8/19,3314211076.627
2021/8/20,2100346281.422
2021/8/21,2637773586.634
2021/8/22,2884963085.47
2021/8/23,3773478140.946
2021/8/24,4069213158.059
2021/8/25,3371817301.5566
2021/8/26,3610873529.611
2021/8/27,3242961397.806
2021/8/28,2806073681.061
2021/8/29,3073842364.508
2021/8/30,3409853129.357
2021/8/31,3411634022.001
2021/9/1,2558248729.676
2021/9/2,3762454835.7375
2021/9/3,3155551733.744
2021/9/4,1418997778.3152
2021/9/5,1684510976.373
2021/9/6,1604740069.97
2021/9/7,4226638143.016
2021/9/8,2614632802.415
2021/9/9,1823784444.311
2021/9/10,2252299080.29
2021/9/11,1787031649.063
2021/9/12,2160262498.553
2021/9/13,2165280422.333
2021/9/14,2182958804.113
2021/9/15,1348501718.0217
2021/9/16,1474167523.164
2021/9/17,1657121217.419
2021/9/18,1438935166.147
2021/9/19,1052207720.668
2021/9/20,4413694946.34
2021/9/21,3777220741.466
2021/9/22,3458232943.543
2021/9/23,1364224471.2436
2021/9/24,2759214681.1742
2021/9/25,1923677387.7379
2021/9/26,1902806193.356
2021/9/27,2627096622.452
2021/9/28,1837962619.9438
2021/9/29,1747383702.351
2021/9/30,3142998106.4973
2021/10/1,1708829659.669
2021/10/2,962899561.8636999
2021/10/3,1562143864.4683
2021/10/4,1406709638.441
2021/10/5,1119293165.101
2021/10/6,2583077629.254
2021/10/7,3016333337.1
2021/10/8,2145861366.679
2021/10/9,1246281068.044
2021/10/10,1825656223.155
2021/10/11,1543262809.25
2021/10/12,2040277942.074
2021/10/13,1609927620.71
2021/10/14,1554546781.056
2021/10/15,2186493271.389
2021/10/16,1739789955.232
2021/10/17,1303370989.353
2021/10/18,1689058238.84
2021/10/19,1624180419.09
2021/10/20,2210915779.721
2021/10/21,3098560530.071
2021/10/22,1657008657.0944
2021/10/23,1484531039.233
2021/10/24,1750863235.586
2021/10/25,1770806497.13
2021/10/26,2286534906.1248
2021/10/27,3002480255.415
2021/10/28,2712733557.35
2021/10/29,2610600060.74
2021/10/30,2259030583.096
2021/10/31,2326324816.646
2021/11/1,1842038150.807
2021/11/2,2123962585.313
2021/11/3,2091376317.618
2021/11/4,1937258013.47
2021/11/5,1818501513.273
2021/11/6,1606141073.3345
2021/11/7,1589906871.845
2021/11/8,1923956739.585
2021/11/9,2055172839.38
2021/11/10,3155957864.581
2021/11/11,2910338112.4773
2021/11/12,2466651654.911
2021/11/13,1548172815.9977
2021/11/14,1721745585.3801
2021/11/15,1905204072.1058
2021/11/16,2779402700.563
2021/11/17,2212446716.32
2021/11/18,2835437488.571
2021/11/19,1642430282.427
2021/11/20,1612623893.7001
2021/11/21,1833148871.864
2021/11/22,2283833387.861
2021/11/23,2204577553.872
2021/11/24,2391993828.2831
2021/11/25,2116122006.253
2021/11/26,3140306106.884
2021/11/27,1860564894.1225
2021/11/28,2032782583.372
2021/11/29,1902309681.84
2021/11/30,2847669932.0031
2021/12/1,2206515336.606
2021/12/2,2202843385.2
2021/12/3,2784503137.217
2021/12/4,3898512091.071
2021/12/5,2488178540.47
2021/12/6,3073557913.5758
2021/12/7,2070539501.2145
2021/12/8,1673814897.012
2021/12/9,2722573353.403
2021/12/10,2728496100.5545
2021/12/11,1944087872.8498
2021/12/12,1290152452.7176
2021/12/13,2258577752.5622
2021/12/14,1805837137.1586
2021/12/15,2581833495.255
2021/12/16,1730766206.9247
2021/12/17,2135298288.23
2021/12/18,1536955766.8249
2021/12/19,1587839667.8404
2021/12/20,1773451797.711
2021/12/21,1462093719.629
2021/12/22,1382917243.834
2021/12/23,1697975333.54
2021/12/24,1440853888.8269
2021/12/25,1448169741.1652
2021/12/26,1408816416.7763
2021/12/27,1329424001.2947
2021/12/28,2392922577.5754
2021/12/29,1512053943.843
2021/12/30,1444134536.1036
2021/12/31,1482886187.203
2022/1/1,1139258853.555
2022/1/2,1122410820.8569
2022/1/3,1251107821.599
2022/1/4,1470794368.0337
2022/1/5,1933887594.15
2022/1/6,2008055426.134
2022/1/7,3008411928.049
2022/1/8,2188299386.31
2022/1/9,971400361.8718001
2022/1/10,2047041349.146
2022/1/11,1451744036.7533
2022/1/12,1689724990.248
2022/1/13,1618625920.5003
2022/1/14,1434131513.89
2022/1/15,1008635353.261
2022/1/16,1036530688.8751
2022/1/17,1621943619.69
2022/1/18,2086769031.5589
2022/1/19,1782283583.9612
2022/1/20,1958960519.702
2022/1/21,3599514427.268
2022/1/22,2828909500.53
2022/1/23,1683063491.9882
2022/1/24,3087573555.553
2022/1/25,1569100654.474
2022/1/26,1960843155.868
2022/1/27,1588665174.837
2022/1/28,1220930389.53
2022/1/29,1119213076.956
2022/1/30,839045718.319
2022/1/31,1020903790.212
2022/2/1,1339499885.485
2022/2/2,1373656284.7461
2022/2/3,1204731860.1174
2022/2/4,1225901574.017
2022/2/5,1354537580.88
2022/2/6,1118314587.6189
2022/2/7,1300011715.29
2022/2/8,1358583801.144
2022/2/9,1318551356.758
2022/2/10,2782448253.0
2022/2/11,1809969050.061
2022/2/12,1203312730.9689
2022/2/13,951709337.9791
2022/2/14,1190191235.982
2022/2/15,1399663865.78
2022/2/16,1151990227.2524
2022/2/17,1636667430.457
2022/2/18,1258285349.468
2022/2/19,836412708.311
2022/2/20,2514241767.059
2022/2/21,1621884478.69
2022/2/22,1175747900.83
2022/2/23,1168408274.06
2022/2/24,3710041234.21
2022/2/25,1681307739.228
2022/2/26,1079326573.38
2022/2/27,1639537323.51
2022/2/28,1820945278.44
2022/3/1,1703648735.99
2022/3/2,1933508413.65
2022/3/3,1080850269.447
2022/3/4,1556081316.891
2022/3/5,918680725.916
2022/3/6,934770961.6400001
2022/3/7,1313396702.985
2022/3/8,2187395056.08
2022/3/9,1414767152.285
2022/3/10,1249878787.394
2022/3/11,1157301102.758
2022/3/12,1075416028.6757
2022/3/13,998650630.173
2022/3/14,1344080929.023
2022/3/15,1183298048.53
2022/3/16,1619894854.166
2022/3/17,1561774689.711
2022/3/18,2125821285.3
2022/3/19,1417926078.96
2022/3/20,1355127483.8
2022/3/21,1344537296.1
2022/3/22,1522202877.39
2022/3/23,1125137601.88
2022/3/24,1434847092.88
2022/3/25,1572143222.4
2022/3/26,1122541301.159
2022/3/27,1332432718.35
2022/3/28,1589399399.7
2022/3/29,1751112783.826
2022/3/30,1559427543.25
2022/3/31,1490370975.482
2022/4/1,1432377323.87
2022/4/2,1387140952.35
2022/4/3,1283540256.097
2022/4/4,1388127308.13
2022/4/5,1535102068.4
2022/4/6,2263101791.82
2022/4/7,1570864363.88
2022/4/8,1702708412.309
2022/4/9,1194744600.222
2022/4/10,984966624.18
2022/4/11,2597813484.1
2022/4/12,1661708642.25
2022/4/13,1581220732.06
2022/4/14,1182571185.843
2022/4/15,894178736.636
2022/4/16,818500356.4289999
2022/4/17,1182153407.133
2022/4/18,1407933916.67
2022/4/19,1243092081.17
2022/4/20,1652088378.12
2022/4/21,1319522000.658
2022/4/22,1256369193.124
2022/4/23,837737007.056
2022/4/24,871530676.184
2022/4/25,1405659190.071
2022/4/26,1696735384.466
2022/4/27,1240619368.032
2022/4/28,1965813273.17
2022/4/29,1637160630.43
2022/4/30,3113681627.029
2022/5/1,1715396832.15
2022/5/2,1502463319.485
2022/5/3,1011604947.169
2022/5/4,1987351532.81
2022/5/5,1603253835.35
2022/5/6,1803950944.98
2022/5/7,1439102227.184
2022/5/8,2251296206.75
2022/5/9,3144452136.08
2022/5/10,2552159389.679
2022/5/11,3483346052.32
2022/5/12,3904262670.7
2022/5/13,2452791645.46
2022/5/14,2017455606.34
2022/5/15,1804454269.69
2022/5/16,2290294177.83
2022/5/17,1392776743.657
2022/5/18,1649118723.79
2022/5/19,1969484324.97
2022/5/20,2146186973.94
2022/5/21,981178130.334
2022/5/22,962974556.469
2022/5/23,2101106212.753
2022/5/24,1416336438.822
2022/5/25,1261580293.783
2022/5/26,2196813512.76
2022/5/27,1543868387.6
2022/5/28,872592866.35
2022/5/29,1026866406.969
2022/5/30,1972029361.64
2022/5/31,1094306988.07
2022/6/1,1318571234.55
2022/6/2,918034229.286
2022/6/3,846210412.8330001
2022/6/4,669978661.356
2022/6/5,670857503.7533051
2022/6/6,1004656738.5979999
2022/6/7,1406961447.66
2022/6/8,1180741145.627
2022/6/9,770954275.8257
2022/6/10,1731366781.97
2022/6/11,2041711549.987
2022/6/12,2168988149.838
2022/6/13,3559452656.28
2022/6/14,2347367046.66
2022/6/15,2408031470.56
2022/6/16,1493731488.59
2022/6/17,1311717542.5935
2022/6/18,1760658412.412
2022/6/19,1507920268.374
2022/6/20,1180747764.289
2022/6/21,1053754570.1052
2022/6/22,863379770.79
2022/6/23,918306341.2099999
2022/6/24,894832772.617
2022/6/25,771312032.933
2022/6/26,723003880.202
2022/6/27,575374375.42
2022/6/28,763366534.774
2022/6/29,871787438.35362
2022/6/30,980287839.553
2022/7/1,906024650.3000001
2022/7/2,847037114.6548
2022/7/3,675954034.47
2022/7/4,841387236.539
2022/7/5,936996938.492
2022/7/6,932050168.6596999
2022/7/7,780976611.317
2022/7/8,1157384275.559
2022/7/9,1012170578.45987
2022/7/10,738722447.078
2022/7/11,961206717.342
2022/7/12,896133294.58014
2022/7/13,1142901752.443
2022/7/14,1197440266.386
2022/7/15,1444698364.228
2022/7/16,1345008169.475
2022/7/17,1501881003.606
2022/7/18,1719927573.8051
2022/7/19,1809003092.13
2022/7/20,1521805615.37292
2022/7/21,1609211423.117
2022/7/22,1756984094.231
2022/7/23,1418665519.0468
2022/7/24,1363337700.532
2022/7/25,1787578698.336
2022/7/26,1263094884.162
2022/7/27,2003998368.629
2022/7/28,2033466241.1849
2022/7/29,1836028258.829
2022/7/30,1359077229.754
2022/7/31,1220890560.686
2022/8/1,1668781620.049
2022/8/2,1494395746.293
2022/8/3,1231618592.943
2022/8/4,1067041886.775
2022/8/5,1450178279.98135
2022/8/6,1278287630.006
2022/8/7,1275739448.433
2022/8/8,1877972722.57
2022/8/9,1493031552.06
2022/8/10,1763872918.5679
2022/8/11,1742136285.5317
2022/8/12,1702914136.6428
2022/8/13,2081342693.742
2022/8/14,1349599136.595
2022/8/15,1949167598.05
2022/8/16,1391503021.195
2022/8/17,2353332759.593
2022/8/18,1922412740.089
2022/8/19,2424683794.356
2022/8/20,1693456022.731
2022/8/21,2083216566.898
2022/8/22,1403817660.347
2022/8/23,1490507377.28
2022/8/24,1378908866.876
2022/8/25,1403712922.48152
2022/8/26,1788972508.882
2022/8/27,1223026505.897
2022/8/28,1152838489.6601
2022/8/29,960775089.996
2022/8/30,1328132790.804
2022/8/31,1155331563.281
2022/9/1,1117719494.373
2022/9/2,1339135724.327
2022/9/3,890695422.3156999
2022/9/4,702629676.58905
2022/9/5,1024274639.831
2022/9/6,1402508985.9209
2022/9/7,1079016667.552
2022/9/8,969547168.156
2022/9/9,1008876151.039
2022/9/10,1045585538.516
2022/9/11,1055443024.707
2022/9/12,1367694761.55
2022/9/13,1650312902.098
2022/9/14,1516516227.229
2022/9/15,1321749102.59
2022/9/16,1030895759.393
2022/9/17,726040169.276
2022/9/18,903354197.757
2022/9/19,1126654815.45
2022/9/20,892200345.81433
2022/9/21,1538752427.739
2022/9/22,1294748372.23
2022/9/23,1549012093.848
2022/9/24,1391410836.347
2022/9/25,1039696568.183
2022/9/26,1319079302.189
2022/9/27,1667151023.742
2022/9/28,1553306997.85
2022/9/29,1221350894.234
2022/9/30,1399869738.74
2022/10/1,1119203700.975
2022/10/2,1496864255.147
2022/10/3,1385771185.813
2022/10/4,1856309009.9801
2022/10/5,1854024917.053
2022/10/6,2270624105.65
2022/10/7,1663040264.764
2022/10/8,1089698453.9516
2022/10/9,382145237.569
2022/10/10,607810812.975
2022/10/11,816246754.0231999
2022/10/12,712760052.0028
2022/10/13,2170111463.638
2022/10/14,1989111522.63
2022/10/15,850341316.4526
2022/10/16,835963160.8012
2022/10/17,1627282454.395
2022/10/18,1385598086.4588
2022/10/19,928766586.883
2022/10/20,900758030.78868
2022/10/21,858749875.9571
2022/10/22,699984774.38341
2022/10/23,1150277077.5831
2022/10/24,1804394974.28264
2022/10/25,2576391102.2353
2022/10/26,2981622273.212
2022/10/27,2347479697.801
2022/10/28,2542975864.01
2022/10/29,3126759976.552
2022/10/30,2236929005.874
2022/10/31,2403089502.043
2022/11/1,2315254302.3054
2022/11/2,2945281625.934
2022/11/3,1602387297.6028
2022/11/4,2663766528.278
2022/11/5,1635253267.662
2022/11/6,1338590038.3887
2022/11/7,2492622320.9696
2022/11/8,4346119596.76
2022/11/9,4316462116.04
2022/11/10,3586340784.73
2022/11/11,2379852168.043
2022/11/12,2604741435.9
2022/11/13,1813623173.6492
2022/11/14,2427180675.89
2022/11/15,1888403189.39
2022/11/16,1242237309.692
2022/11/17,1566283316.292
2022/11/18,790827569.2639999
2022/11/19,643411422.837
2022/11/20,1152724409.776
2022/11/21,1899485045.015
2022/11/22,1958221945.104
2022/11/23,2337581873.685
2022/11/24,2407499744.961
2022/11/25,2428527357.3528
2022/11/26,1899938219.67483
2022/11/27,1633318766.2458
2022/11/28,1887617054.9094
2022/11/29,1666376018.2749
2022/11/30,2520081730.266
2022/12/1,1494010325.469
2022/12/2,1599799844.468
2022/12/3,1220847586.99194
2022/12/4,1024731483.1528
2022/12/5,1616806174.9789
2022/12/6,1507897019.2552
2022/12/7,1530208078.91
2022/12/8,1809996580.3954
2022/12/9,1309946876.0196
2022/12/10,825333858.22439
2022/12/11,1144265881.5868
2022/12/12,1536277997.871
2022/12/13,3492938643.639
2022/12/14,2440487014.7732
2022/12/15,2149905006.0036
2022/12/16,3468882221.53087
2022/12/17,2318294699.122
2022/12/18,1895844781.03618
2022/12/19,2538124919.0125
2022/12/20,1917065997.597
2022/12/21,1894250716.042
2022/12/22,1572494480.3857
2022/12/23,1640583695.4589
2022/12/24,1538977279.35531
2022/12/25,969013741.0864999
2022/12/26,1209663070.4163
2022/12/27,1499887088.7673
2022/12/28,2226002150.8295
2022/12/29,1870129713.6449
2022/12/30,1505356065.64773
2022/12/31,1918503810.2303
2023/1/1,1718644071.677
2023/1/2,1430409991.46799
2023/1/3,1838821505.0824
2023/1/4,2322357702.272
2023/1/5,1576496139.5418
2023/1/6,1929195883.9614
2023/1/7,977994990.84207
2023/1/8,1322432103.335
2023/1/9,3394529095.496
2023/1/10,2152076105.802
2023/1/11,2101736618.778
2023/1/12,4377554450.753
2023/1/13,3156593396.45413
2023/1/14,3655633740.929
2023/1/15,2541853572.563
2023/1/16,3998602828.454
2023/1/17,2554787875.17799
2023/1/18,3574215966.7086
2023/1/19,1783945069.6047
2023/1/20,1684006584.466
2023/1/21,3365624356.3539
2023/1/22,2463337040.7478
2023/1/23,2160868150.783
2023/1/24,2214811305.7387
2023/1/25,2687993913.442
2023/1/26,2442422653.425
2023/1/27,1924129877.7665
2023/1/28,1082162685.6117
2023/1/29,1397551757.2073
2023/1/30,2079165810.255
2023/1/31,1671427931.2598
2023/2/1,1904081635.6242
2023/2/2,2749916513.839
2023/2/3,1952341884.431
2023/2/4,1825791690.9627
2023/2/5,2014892141.6071
2023/2/6,1523665326.2234
2023/2/7,1645383076.1953
2023/2/8,1971520010.548
2023/2/9,2414427978.238
2023/2/10,3724375319.1896
2023/2/11,2360462719.5853
2023/2/12,1461113265.7692
2023/2/13,2180681636.16
2023/2/14,2075773933.3781
2023/2/15,1783917543.9047
2023/2/16,2866408971.3383
2023/2/17,3013185480.469
2023/2/18,2227779031.8811
2023/2/19,2297381006.842
2023/2/20,2336903552.041
2023/2/21,2983223494.363
2023/2/22,2413376863.566
2023/2/23,3653838401.6912
2023/2/24,2572833898.3096
2023/2/25,1845470148.3317
2023/2/26,1210482376.0836
2023/2/27,1823780027.6888
2023/2/28,3002053156.5098
2023/3/1,2559399970.7833
2023/3/2,1468018922.7394
2023/3/3,2063525575.6309
2023/3/4,1275180359.1917
2023/3/5,1031795199.9971
2023/3/6,930790837.5457
2023/3/7,1449153067.114
2023/3/8,1332319012.5391
2023/3/9,2004834961.6965
2023/3/10,3356970010.11
2023/3/11,14556170245.7
2023/3/12,2228026498.64
2023/3/13,4732155258.115
2023/3/14,3964352193.68
2023/3/15,4012746542.35
2023/3/16,2920926259.0399
2023/3/17,4478022983.3953
2023/3/18,3764691699.7041
2023/3/19,2952453818.148
2023/3/20,3750189473.16
2023/3/21,3220368797.078
2023/3/22,4536685644.0978
2023/3/23,5001525861.8633
2023/3/24,3004823169.1098
2023/3/25,2874142397.702
2023/3/26,2357877778.162
2023/3/27,2274506674.666
2023/3/28,2457097800.1468
2023/3/29,2071115471.9599
2023/3/30,1570491516.276
2023/3/31,2128195063.5096
2023/4/1,1564829011.753
2023/4/2,1758706837.3477
2023/4/3,1759728595.6058
2023/4/4,1685553369.8295
2023/4/5,2058345977.0641
2023/4/6,1110665803.2336
2023/4/7,822515679.5047
2023/4/8,915610162.0701001
2023/4/9,1811752846.38482
2023/4/10,1728499223.8585
2023/4/11,2372455360.3065
2023/4/12,3014603876.71
2023/4/13,1749419297.4878
2023/4/14,2934926753.461
2023/4/15,1370372969.542
2023/4/16,1729043563.643
2023/4/17,1829161825.692
2023/4/18,1655742419.849
2023/4/19,1494224182.094
2023/4/20,1565371181.731
2023/4/21,1779767716.72
2023/4/22,775565719.4081
2023/4/23,533891071.87200004
2023/4/24,942705979.024
2023/4/25,1221873426.01
2023/4/26,1593645111.214
2023/4/27,1375647676.6594
2023/4/28,676037349.7264
2023/4/29,513988686.151
2023/4/30,603464403.7417
2023/5/1,1057042793.524
2023/5/2,817441550.605
2023/5/3,1375312813.461
2023/5/4,920314988.1650001
2023/5/5,2555089134.275
2023/5/6,3946371432.64
2023/5/7,1665681742.952
2023/5/8,1535652022.87
2023/5/9,1112306528.726
2023/5/10,1170003087.02
2023/5/11,1604485217.05
2023/5/12,1350213631.0
2023/5/13,1718470370.489
2023/5/14,533784058.6127
2023/5/15,778261309.386
2023/5/16,594427104.187
2023/5/17,866347621.0009999
2023/5/18,696064677.75
2023/5/19,770188132.532
2023/5/20,699652570.624
2023/5/21,1041243353.736
2023/5/22,827415674.5550001
2023/5/23,1210028801.899
2023/5/24,1181926763.102
2023/5/25,859281145.904
2023/5/26,1189901063.753
2023/5/27,671093380.287
2023/5/28,1320661737.46
2023/5/29,1255675692.723
2023/5/30,1114723898.657
2023/5/31,1169297515.177
2023/6/1,1562134592.813
2023/6/2,1071311114.865
2023/6/3,861197313.162
2023/6/4,806670400.415
2023/6/5,1385864435.702
2023/6/6,1926615459.642
2023/6/7,1123219557.647
2023/6/8,690761183.901
2023/6/9,817200187.9603001
2023/6/10,1518964994.275
2023/6/11,1337949589.884
2023/6/12,2563347744.048
2023/6/13,1319793876.319
2023/6/14,2469869587.19
2023/6/15,2934167851.984
2023/6/16,2515631796.755
2023/6/17,2675506639.888
2023/6/18,1129081698.935
2023/6/19,1997451529.835
2023/6/20,2899975983.558
2023/6/21,4288645866.514
2023/6/22,3498570991.4
2023/6/23,2671808441.059
2023/6/24,2106710972.6475
2023/6/25,2071676029.8816
2023/6/26,1986701059.0858
2023/6/27,1612775744.78
2023/6/28,1658894303.71
2023/6/29,1093508816.079
2023/6/30,1853411573.995
2023/7/1,1801492180.63
