DATE,N_TRANSFER,USER,AMOUNT_USD,AMOUNT_ETH,CEX,DEX
2021-02-06 00:00:00.000,14,14,152588.253506936,90.351751788,coinbase,uniswap
2021-02-06 00:00:00.000,2,2,12195.46417845,7.211880871,bitbee,uniswap
2021-02-06 00:00:00.000,4,4,46738.721173472,27.73643901,coinbase,sushiswap
2021-02-07 00:00:00.000,17,17,180646.173588631,114.06028045,coinbase,uniswap
2021-02-07 00:00:00.000,1,1,3062.655052447,1.97795643,bitbee,uniswap
2021-02-07 00:00:00.000,2,2,23694.275832763,15,coinbase,dydx
2021-02-07 00:00:00.000,2,2,25904.70629867,15.882971969,coinbase,sushiswap
2021-02-08 00:00:00.000,11,11,138714.518811514,84.743524755,coinbase,uniswap
2021-02-08 00:00:00.000,1,1,17303.276457275,10.895309023,coinbase,sushiswap
2021-02-08 00:00:00.000,2,2,5457.925444183,3.275178271,bitbee,uniswap
2021-02-09 00:00:00.000,30,30,356449.443516004,203.639586114,coinbase,uniswap
2021-02-09 00:00:00.000,1,1,9.155589067,0.005216167226,bitbee,balancer
2021-02-09 00:00:00.000,3,3,52019.417652607,29.540972538,coinbase,sushiswap
2021-02-10 00:00:00.000,1,1,5.006360381,0.002768142657,bitbee,balancer
2021-02-10 00:00:00.000,3,3,41903.801849514,23.395047641,coinbase,sushiswap
2021-02-10 00:00:00.000,1,1,20931.280611292,11.573431859,coinbase,0x
2021-02-10 00:00:00.000,11,11,123827.10881512,69.67851388,coinbase,uniswap
2021-02-11 00:00:00.000,23,23,280351.755077805,160.090327834,coinbase,uniswap
2021-02-11 00:00:00.000,5,5,66180.884674775,38.100303452,coinbase,sushiswap
2021-02-12 00:00:00.000,27,27,366830.329392607,203.0922681,coinbase,uniswap
2021-02-12 00:00:00.000,5,5,94292.491043407,52.033461194,coinbase,sushiswap
2021-02-13 00:00:00.000,8,8,150805.939233973,81.57644207,coinbase,sushiswap
2021-02-13 00:00:00.000,33,33,436196.180787675,236.541786717,coinbase,uniswap
2021-02-14 00:00:00.000,5,5,80432.517283584,44.263579992,coinbase,sushiswap
2021-02-14 00:00:00.000,29,29,350783.798848676,192.584507435,coinbase,uniswap
2021-02-14 00:00:00.000,1,1,8.915814643,0.004852769663,bitbee,0x
2021-02-15 00:00:00.000,3,3,37274.221292537,20.569175811,coinbase,sushiswap
2021-02-15 00:00:00.000,32,32,350699.485050709,196.106704845,coinbase,uniswap
2021-02-16 00:00:00.000,20,20,233586.863310417,131.446105122,coinbase,uniswap
2021-02-16 00:00:00.000,3,3,43270.325533708,24.477211772,coinbase,sushiswap
2021-02-17 00:00:00.000,4,4,71463.219697794,40.284421697,coinbase,sushiswap
2021-02-17 00:00:00.000,30,30,390079.656498469,217.129514194,coinbase,uniswap
2021-02-18 00:00:00.000,5,5,83538.88720383,43.777222211,coinbase,sushiswap
2021-02-18 00:00:00.000,17,17,242227.003643412,126.806631642,coinbase,uniswap
2021-02-19 00:00:00.000,4,4,49967.934901833,25.976311603,coinbase,sushiswap
2021-02-19 00:00:00.000,11,11,163633.237654801,84.903104645,coinbase,uniswap
2021-02-20 00:00:00.000,15,15,316912.300491512,158.968743767,coinbase,uniswap
2021-02-20 00:00:00.000,4,4,63052.34083852,31.519464254,coinbase,sushiswap
2021-02-21 00:00:00.000,43,43,855012.918710494,438.925714891,coinbase,uniswap
2021-02-21 00:00:00.000,6,11,150426.612268036,77.877832615,coinbase,sushiswap
2021-02-22 00:00:00.000,7,7,115009.985125932,63.297405926,coinbase,sushiswap
2021-02-22 00:00:00.000,25,25,575389.281029843,320.76312682,coinbase,uniswap
2021-02-23 00:00:00.000,6,7,94429.75902374,63.184853668,coinbase,sushiswap
2021-02-23 00:00:00.000,15,15,642437.361100734,400.622108543,coinbase,uniswap
2021-02-24 00:00:00.000,2,2,31231.541065113,19.22635307,coinbase,sushiswap
2021-02-24 00:00:00.000,33,33,666865.711798864,407.030867132,coinbase,uniswap
2021-02-25 00:00:00.000,44,44,522137.769359255,322.661576953,coinbase,uniswap
2021-02-25 00:00:00.000,7,8,102844.602607585,63.972552823,coinbase,sushiswap
2021-02-26 00:00:00.000,3,4,22128.10503779,14.474780415,coinbase,sushiswap
2021-02-26 00:00:00.000,7,7,213033.821084894,144.006726767,coinbase,uniswap
2021-02-27 00:00:00.000,4,4,35702.49866291,23.887629959,coinbase,sushiswap
2021-02-27 00:00:00.000,20,20,257078.853958252,172.417327062,coinbase,uniswap
2021-02-28 00:00:00.000,20,20,213558.514847355,150.236119823,coinbase,uniswap
2021-02-28 00:00:00.000,2,4,12949.519391605,9.151847873,coinbase,sushiswap
2021-03-01 00:00:00.000,57,57,561447.395008226,375.793481481,coinbase,uniswap
2021-03-01 00:00:00.000,4,4,41975.521446265,28.811510535,coinbase,sushiswap
2021-03-02 00:00:00.000,28,28,426919.539615293,272.86007174,coinbase,uniswap
2021-03-02 00:00:00.000,8,8,78007.896997551,50.082607995,coinbase,sushiswap
2021-03-03 00:00:00.000,17,17,230908.760717473,145.473711743,coinbase,uniswap
2021-03-03 00:00:00.000,4,4,46373.485045374,29.13384301,coinbase,sushiswap
2021-03-04 00:00:00.000,2,2,29383.536854995,18.650459839,coinbase,sushiswap
2021-03-04 00:00:00.000,24,24,301363.249990151,191.180071657,coinbase,uniswap
2021-03-05 00:00:00.000,1,1,11.368573822,0.007679559335,bitbee,0x
2021-03-05 00:00:00.000,5,5,62185.985744619,41.974155354,coinbase,sushiswap
2021-03-05 00:00:00.000,59,59,682837.039071303,459.093585146,coinbase,uniswap
2021-03-06 00:00:00.000,36,36,395692.546166252,252.262556958,coinbase,uniswap
2021-03-06 00:00:00.000,1,1,14206.209333263,9.277044137,coinbase,sushiswap
2021-03-07 00:00:00.000,29,29,379523.71068722,227.623161708,coinbase,uniswap
2021-03-07 00:00:00.000,4,4,50618.122608059,30.280973477,coinbase,sushiswap
2021-03-08 00:00:00.000,4,4,52107.646689377,29.758814075,coinbase,sushiswap
2021-03-08 00:00:00.000,33,33,546373.940170991,311.775415205,coinbase,uniswap
2021-03-09 00:00:00.000,56,56,997511.021014706,544.534123803,coinbase,uniswap
2021-03-09 00:00:00.000,3,3,59322.019099971,32.099550307,coinbase,sushiswap
2021-03-10 00:00:00.000,38,38,614709.078581717,335.336533758,coinbase,uniswap
2021-03-10 00:00:00.000,1,1,18656.891232239,10.069099519,coinbase,sushiswap
2021-03-11 00:00:00.000,4,4,63198.874315186,35.325916901,coinbase,sushiswap
2021-03-11 00:00:00.000,39,39,604889.461586757,336.566258715,coinbase,uniswap
2021-03-12 00:00:00.000,6,6,97998.896929891,54.720222829,coinbase,sushiswap
2021-03-12 00:00:00.000,21,21,304303.964736162,171.593723824,coinbase,uniswap
2021-03-13 00:00:00.000,3,3,51301.373660262,27.330894444,coinbase,sushiswap
2021-03-13 00:00:00.000,23,23,399239.540520888,213.575952856,coinbase,uniswap
2021-03-14 00:00:00.000,34,34,457153.169112892,243.534715464,coinbase,uniswap
2021-03-15 00:00:00.000,47,47,679783.202842152,374.104264043,coinbase,uniswap
2021-03-15 00:00:00.000,5,5,84557.698766041,46.507025724,coinbase,sushiswap
2021-03-16 00:00:00.000,2,2,39046.000735296,22.24374971,coinbase,sushiswap
2021-03-16 00:00:00.000,35,35,701801.262381492,395.354330656,coinbase,uniswap
