AuthorID,Author,Date,Content,Attachments,Reactions,
7.04714E+17,amycrim.,2021-09-07T06:01:54.6110000-04:00,"Test Server ""B"" #announcements",,,
7.59802E+17,amanbnb,2021-09-08T06:17:20.8340000-04:00,Joined the server.,,,
7.59802E+17,amanbnb,2021-09-08T06:36:24.5480000-04:00,,,,
1.59986E+17,MEE6#4876,2021-09-08T06:40:37.8080000-04:00,,,,
8.84262E+17,crispyk0525,2021-09-08T06:40:54.0700000-04:00,"Oops, bad word",,,
8.85107E+17,killuabnb,2021-09-08T06:53:27.3450000-04:00,Joined the server.,,,
8.85107E+17,killuabnb,2021-09-08T06:55:49.4900000-04:00,💪🏻💪🏻,,,
6.62233E+17,lenelle,2021-09-08T07:41:24.8310000-04:00,https://tenor.com/view/kummeli-thumbs-up-nice-well-done-approve-gif-12348671,,,
7.06431E+17,jasminezzz9151,2021-09-08T08:46:57.4920000-04:00,https://tenor.com/view/ed-ihm-seine-sonnenbrille-ed-sonnenbrille-torben-impossible-lampe-gif-16527793,,,
4.56227E+17,Deleted User,2021-09-08T08:55:07.5640000-04:00,Joined the server.,,,
7.06431E+17,jasminezzz9151,2021-09-08T08:57:42.1830000-04:00,Joined the server.,,,
6.62233E+17,lenelle,2021-09-08T08:59:30.8750000-04:00,@toni_bnb#2734  hi?,,,
4.56227E+17,Deleted User,2021-09-08T09:02:38.4900000-04:00,Joined the server.,,,
7.06431E+17,jasminezzz9151,2021-09-08T09:03:39.0370000-04:00,Joined the server.,,,
7.06431E+17,jasminezzz9151,2021-09-08T09:04:10.4620000-04:00,Joined the server.,,,
7.06431E+17,jasminezzz9151,2021-09-08T09:11:21.7010000-04:00,Joined the server.,,,
4.56227E+17,Deleted User,2021-09-08T09:13:52.6760000-04:00,Test,,,
7.06431E+17,jasminezzz9151,2021-09-08T09:15:57.6890000-04:00,https://tenor.com/view/hello-there-private-from-penguins-of-madagascar-hi-wave-hey-there-gif-16043627,,,
5.44839E+17,dml25,2021-09-08T09:16:15.4660000-04:00,Joined the server.,,,
7.10932E+17,zunimg,2021-09-08T09:17:45.7980000-04:00,Joined the server.,,,
5.44839E+17,dml25,2021-09-08T09:18:12.2510000-04:00,Test successful! 😅😅,,,
