,Sentiment_Score,Label
2022-11-07,0.0861,neutral
2022-11-08,0.0188,neutral
2022-11-09,0.1492,positive
2022-11-10,0.1075,positive
2022-11-11,-0.0958,neutral
2022-11-12,-0.0911,neutral
2022-11-13,0.0372,neutral
2022-11-14,0.1397,positive
2022-11-15,-0.0077,neutral
2022-11-16,0.0476,neutral
2022-11-17,-0.0263,neutral
2022-11-18,0.1365,positive
2022-11-19,-0.0328,neutral
2022-11-20,-0.0022,neutral
2022-11-21,0.0105,neutral
2022-11-22,0.0705,neutral
2022-11-23,0.0154,neutral
2022-11-24,-0.0142,neutral
2022-11-25,0.135,positive
2022-11-26,0.1323,positive
2022-11-27,0.036,neutral
2022-11-28,-0.0194,neutral
2022-11-29,0.1182,positive
2022-11-30,0.0116,neutral
2022-12-01,-0.0489,neutral
2022-12-02,0.0263,neutral
2022-12-03,0.0075,neutral
2022-12-04,0.0353,neutral
2022-12-05,0.0883,neutral
2022-12-06,0.0095,neutral
2022-12-07,0.0497,neutral
2022-12-08,0.0533,neutral
2022-12-09,-0.0311,neutral
2022-12-10,0.029,neutral
2022-12-11,0.0222,neutral
2022-12-12,0.0964,neutral
2022-12-13,0.0235,neutral
2022-12-14,0.0414,neutral
2022-12-15,0.0226,neutral
2022-12-16,0.0028,neutral
2022-12-17,0.133,positive
2022-12-18,0.1421,positive
2022-12-19,0.0665,neutral
2022-12-20,0.2047,positive
2022-12-21,0.0929,neutral
2022-12-22,0.0628,neutral
2022-12-23,0.0894,neutral
2022-12-24,0.0242,neutral
2022-12-25,0.1677,positive
2022-12-26,0.1114,positive
2022-12-27,0.1371,positive
2022-12-28,-0.0119,neutral
2022-12-29,0.0186,neutral
2022-12-30,-0.0157,neutral
2022-12-31,0.3637,positive
2023-01-01,0.2277,positive
2023-01-02,0.0364,neutral
2023-01-03,-0.0343,neutral
2023-01-04,0.0331,neutral
2023-01-05,0.0294,neutral
2023-01-06,0.1198,positive
2023-01-07,0.0625,neutral
2023-01-08,-0.1011,negative
2023-01-09,0.1448,positive
2023-01-10,0.0757,neutral
2023-01-11,0.113,positive
2023-01-12,0.0309,neutral
2023-01-13,0.0094,neutral
2023-01-14,0.0662,neutral
2023-01-15,0.0447,neutral
2023-01-16,0.1602,positive
2023-01-17,0.0003,neutral
2023-01-18,-0.1367,negative
2023-01-19,-0.0969,neutral
2023-01-20,-0.1453,negative
2023-01-21,-0.0656,neutral
2023-01-22,-0.0349,neutral
2023-01-23,-0.0995,neutral
2023-01-24,0.1176,positive
2023-01-25,0.0048,neutral
2023-01-26,0.0445,neutral
2023-01-27,-0.1636,negative
2023-01-28,0.0095,neutral
2023-01-29,0.0009,neutral
2023-01-30,-0.0475,neutral
2023-01-31,-0.1073,negative
2023-02-01,0.1361,positive
2023-02-02,0.0468,neutral
2023-02-03,0.0462,neutral
2023-02-04,0.0859,neutral
2023-02-05,-0.05,neutral
2023-02-06,0.0708,neutral
2023-02-07,-0.001,neutral
2023-02-08,0.0702,neutral
2023-02-09,0.0936,neutral
2023-02-10,-0.0805,neutral
2023-02-11,0.0192,neutral
2023-02-12,-0.0278,neutral
2023-02-13,0.09,neutral
2023-02-14,-0.0069,neutral
2023-02-15,-0.0396,neutral
2023-02-16,0.0477,neutral
2023-02-17,-0.0852,neutral
2023-02-18,0.0699,neutral
2023-02-19,0.0375,neutral
2023-02-20,-0.1076,negative
2023-02-21,0.1552,positive
2023-02-22,-0.0229,neutral
2023-02-23,0.1578,positive
2023-02-24,0.076,neutral
2023-02-25,0.1329,positive
2023-02-26,-0.0378,neutral
2023-02-27,0.1538,positive
2023-02-28,-0.0895,neutral
2023-03-01,-0.1117,negative
2023-03-02,0.024,neutral
2023-03-03,0.0584,neutral
2023-03-04,-0.0042,neutral
2023-03-05,0.077,neutral
2023-03-06,0.0794,neutral
2023-03-07,-0.057,neutral
2023-03-08,0.0807,neutral
2023-03-09,-0.024,neutral
2023-03-10,0.1485,positive
2023-03-11,-0.1471,negative
2023-03-12,-0.1669,negative
2023-03-13,0.0206,neutral
2023-03-14,-0.0302,neutral
