Date,Sentiment_Score,Label
2023/4/1,0.1666,positive
2023/4/2,-0.0301,neutral
2023/4/3,0.0247,neutral
2023/4/4,0.0293,neutral
2023/4/5,0.0662,neutral
2023/4/6,0.0753,neutral
2023/4/7,0.101,positive
2023/4/8,0.0096,neutral
2023/4/9,-0.0384,neutral
2023/4/10,0.0507,neutral
2023/4/11,-0.0069,neutral
2023/4/12,0.0312,neutral
2023/4/13,0.0164,neutral
2023/4/14,0.071,neutral
2023/4/15,-0.1396,negative
2023/4/16,-0.1075,negative
2023/4/17,-0.0634,neutral
2023/4/18,-0.0331,neutral
2023/4/19,-0.0194,neutral
2023/4/20,0.0899,neutral
2023/4/21,-0.0643,neutral
2023/4/22,-0.1602,negative
2023/4/23,0.0055,neutral
2023/4/24,0.0695,neutral
2023/4/25,-0.0049,neutral
2023/4/26,-0.0035,neutral
2023/4/27,-0.1561,negative
2023/4/28,0.0432,neutral
2023/4/29,0.0815,neutral
2023/4/30,-0.0391,neutral
2023/5/1,0.1132,positive
2023/5/2,0.0326,neutral
2023/5/3,-0.0337,neutral
2023/5/4,0.0957,neutral
2023/5/5,0.017,neutral
2023/5/6,0.0067,neutral
2023/5/7,-0.0049,neutral
2023/5/8,0.0068,neutral
2023/5/9,0.0723,neutral
2023/5/10,0.0988,neutral
2023/5/11,0.0887,neutral
2023/5/12,0.1931,positive
2023/5/13,0.0376,neutral
2023/5/14,0.1506,positive
2023/5/15,0.1509,positive
2023/5/16,0.1713,positive
2023/5/17,0.1125,positive
2023/5/18,0.219,positive
2023/5/19,0.2067,positive
2023/5/20,0.1932,positive
2023/5/21,0.0921,neutral
2023/5/22,0.1657,positive
2023/5/23,0.0986,neutral
2023/5/24,0.0771,neutral
2023/5/25,0.0568,neutral
2023/5/26,0.1194,positive
2023/5/27,0.1611,positive
2023/5/28,0.1499,positive
2023/5/29,0.166,positive
2023/5/30,0.1499,positive
2023/5/31,0.1636,positive
2023/6/1,0.2061,positive
2023/6/2,0.2455,positive
2023/6/3,0.2302,positive
2023/6/4,0.2222,positive
2023/6/5,0.1982,positive
2023/6/6,0.1978,positive
2023/6/7,0.2417,positive
2023/6/8,0.1751,positive
2023/6/9,0.1185,positive
2023/6/10,0.2962,positive
